Id,Action
1,0.21537678207739308
10,0.2971317040054311
100,0.8039714867617108
1000,0.6755431093007468
10000,0.17528852681602172
10001,0.2154446707399864
10002,0.8741174473862865
10003,0.04158180583842498
10004,0.3459606245756959
10005,0.3185675492192804
10006,0.059114052953156825
10007,0.24996605566870334
10008,0.6428377460964019
10009,0.605142566191446
1001,0.5633231500339443
10010,0.1321622539035981
10011,0.014239646978954515
10012,0.10896130346232179
10013,0.2113204344874406
10014,0.9260353021045485
10015,0.7578241683638832
10016,0.2573489477257298
10017,0.5423794976238968
10018,0.9918703326544467
10019,0.3027834351663272
1002,0.17002715546503733
10020,0.4437033265444671
10021,0.2111846571622539
10022,0.44988119484046163
10023,0.8700610997963341
10024,0.053818737270875765
10025,0.6130515953835709
10026,0.5092668024439918
10027,0.5657501697216565
10028,0.5851663272233537
10029,0.28340122199592666
1003,0.2863713509843856
10030,0.9429226069246436
10031,0.5036490156143923
10032,0.3280040733197556
10033,0.3822810590631365
10034,0.3894602851323829
10035,0.9715376782077393
10036,0.023200950441276305
10037,0.8769857433808554
10038,0.32408350305498984
10039,0.7315512559402579
1004,0.7102511880515954
10040,0.811235573659199
10041,0.005566870332654446
10042,0.4561948404616429
10043,0.40010183299389
10044,0.9184996605566871
10045,0.04304141208418194
10046,0.9394263408010862
10047,0.7024439918533605
10048,0.771469789545146
10049,0.8201459606245757
1005,0.37557705363204347
10050,0.9283435166327223
10051,0.08460624575695859
10052,0.8985913102511881
10053,0.4218940936863544
10054,0.5032247114731839
10055,0.7902579769178547
10056,0.9924643584521385
10057,0.5184657162253904
10058,0.10196877121520706
10059,0.10441276306856755
1006,0.2844365241004752
10060,0.6093856076035302
10061,0.2929735234215886
10062,0.5110658520027156
10063,0.43609979633401225
10064,0.645010183299389
10065,0.24719959266802444
10066,0.10013577732518669
10067,0.57469450101833
10068,0.39478954514596065
10069,0.7868295994568907
1007,0.7590291921249152
10070,0.3046673455532926
10071,0.29110658520027155
10072,0.41956890699253224
10073,0.2223183978275628
10074,0.2625763747454175
10075,0.43526816021724374
10076,0.49097080787508485
10077,0.8657501697216565
10078,0.6021045485403937
10079,0.004039375424304141
1008,0.9031059063136456
10080,0.4946367956551256
10081,0.7893584521384929
10082,0.26953496266123556
10083,0.16782077393075356
10084,0.8442124915139172
10085,0.7320773930753565
10086,0.20208757637474542
10087,0.36143923964697894
10088,0.6043279022403258
10089,0.6285641547861507
1009,0.9344025797691785
10090,0.9810590631364562
10091,0.5070773930753564
10092,0.1996775288526816
10093,0.3696367956551256
10094,0.9494568906992532
10095,0.9062287847929396
10096,0.8242023082145282
10097,0.31537678207739306
10098,0.3405804480651731
10099,0.3995417515274949
101,0.2249660556687033
1010,0.6193143245078072
10100,0.5196877121520707
10101,0.7392057026476578
10102,0.3564154786150713
10103,0.9965885947046843
10104,0.40541412084181944
10105,0.7666496945010183
10106,0.09064833672776647
10107,0.3317888662593347
10108,0.6578241683638832
10109,0.04161575016972165
1011,0.8601663272233537
10110,0.0363204344874406
10111,0.01912763068567549
10112,0.7763408010862186
10113,0.4206720977596741
10114,0.8771215207060421
10115,0.20210454854039375
10116,0.8525967413441955
10117,0.002443991853360489
10118,0.04872708757637475
10119,0.115020366598778
1012,0.3269348268839104
10120,0.8994059742023082
10121,0.4095723014256619
10122,0.7609640190088255
10123,0.2927868295994569
10124,0.05972505091649694
10125,0.4405295315682281
10126,0.06427359131025119
10127,0.07425322471147318
10128,0.41140529531568226
10129,0.058435166327223356
1013,0.7163611676849966
10130,0.33155125594025797
10131,0.3236591989137814
10132,0.5717413441955194
10133,0.2455702647657841
10134,0.05213849287169043
10135,0.04871011541072641
10136,0.16176171079429735
10137,0.8075356415478615
10138,0.13316361167684995
10139,0.4256619144602851
1014,0.4901052274270197
10140,0.2523930753564155
10141,0.07418533604887984
10142,0.9941955193482689
10143,0.5043279022403259
10144,0.40247793618465716
10145,0.7172946367956551
10146,0.8872369314324507
10147,0.49585879158180585
10148,0.5867107942973523
10149,0.561999321113374
1015,0.7685336048879837
10150,0.2938391038696538
10151,0.3888153428377461
10152,0.8914120841819416
10153,0.43440257976917857
10154,0.6830787508486083
10155,0.36369653767820775
10156,0.20792600135777325
10157,0.20003394433129668
