Id,Action
1,0.9773310422897339
2,0.991862416267395
3,0.9978324770927429
4,0.9876799583435059
5,0.9992226362228394
6,0.9997679591178894
7,0.9951512813568115
8,0.9996910095214844
9,0.624624490737915
10,0.9934312701225281
11,0.9512583613395691
12,0.988943338394165
13,0.9879838228225708
14,0.958939790725708
15,0.949836015701294
16,0.9600428938865662
17,0.9654468894004822
18,0.9720369577407837
19,0.9977585077285767
20,0.9968716502189636
21,0.9996966123580933
22,0.9996528625488281
23,0.9845580458641052
24,0.9921384453773499
25,0.9878767728805542
26,0.9316617846488953
27,0.9994223117828369
28,0.9117302894592285
29,0.9968593120574951
30,0.8552634119987488
31,0.987390398979187
32,0.9970511198043823
33,0.9843357801437378
34,0.9972336888313293
35,0.9951999187469482
36,0.9991783499717712
37,0.9964351654052734
38,0.9996106028556824
39,0.9875031113624573
40,0.9222885370254517
41,0.9226323366165161
42,0.9977481961250305
43,0.9977438449859619
44,0.9953563809394836
45,0.9896060228347778
46,0.9945835471153259
47,0.9983250498771667
48,0.9985488057136536
49,0.9999980926513672
50,0.9950633645057678
51,0.9863126873970032
52,0.9960432052612305
53,0.9982384443283081
54,0.9984918832778931
55,0.9808250069618225
56,0.9986496567726135
57,0.9942123293876648
58,0.9977389574050903
59,0.9967465400695801
60,0.9913634061813354
61,0.9970687031745911
62,0.9988695979118347
63,0.9644177556037903
64,0.9910741448402405
65,0.9993537068367004
66,0.9961346387863159
67,0.9808611273765564
68,0.9995909333229065
69,0.9204423427581787
70,0.5684969425201416
71,0.9881000518798828
72,0.9751901626586914
73,0.9971892237663269
74,0.9993768334388733
75,0.9988749623298645
76,0.9999556541442871
77,0.992699921131134
78,0.9209449887275696
79,0.7808256149291992
80,0.9976711869239807
81,0.9981843829154968
82,0.9922074675559998
83,0.9937832355499268
84,0.9864011406898499
85,0.99010169506073
86,0.9827127456665039
87,0.968768835067749
88,0.9840483665466309
89,0.9980385899543762
90,0.982353925704956
91,0.8885807394981384
92,0.8002794981002808
93,0.9970979690551758
94,0.9881206750869751
95,0.9892409443855286
